time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2007-10-15T00:00:00Z,40.0,6.305
2007-10-15T00:00:00Z,41.0,5.951
2007-10-15T00:00:00Z,42.0,5.492
2007-10-15T00:00:00Z,43.0,2.989
2007-10-15T00:00:00Z,44.0,-0.109
2007-10-15T00:00:00Z,45.0,0.262
2007-10-15T00:00:00Z,46.0,-0.106
2007-10-15T00:00:00Z,47.0,0.013
2007-11-15T00:00:00Z,31.0,0.513
2007-11-15T00:00:00Z,32.0,0.203
2007-11-15T00:00:00Z,33.0,0.101
2007-11-15T00:00:00Z,34.0,0.392
2007-11-15T00:00:00Z,35.0,0.94
2007-11-15T00:00:00Z,36.0,3.29
2007-11-15T00:00:00Z,37.0,5.27
2007-11-15T00:00:00Z,38.0,4.708
2007-11-15T00:00:00Z,39.0,9.757
2007-11-15T00:00:00Z,40.0,9.899
2007-11-15T00:00:00Z,41.0,6.617
2007-11-15T00:00:00Z,42.0,5.412
2007-11-15T00:00:00Z,43.0,2.95
2007-11-15T00:00:00Z,44.0,-0.299
2007-11-15T00:00:00Z,45.0,0.562
2007-11-15T00:00:00Z,46.0,0.098
2007-11-15T00:00:00Z,47.0,-0.55
2007-12-15T00:00:00Z,31.0,1.455
2007-12-15T00:00:00Z,32.0,1.787
2007-12-15T00:00:00Z,33.0,1.995
2007-12-15T00:00:00Z,34.0,2.792
2007-12-15T00:00:00Z,35.0,5.862
2007-12-15T00:00:00Z,36.0,1.773
2007-12-15T00:00:00Z,37.0,6.3
2007-12-15T00:00:00Z,38.0,3.147
2007-12-15T00:00:00Z,39.0,6.841
2007-12-15T00:00:00Z,40.0,5.29
2007-12-15T00:00:00Z,41.0,-0.459
2007-12-15T00:00:00Z,42.0,-3.348
2007-12-15T00:00:00Z,43.0,-8.81
2007-12-15T00:00:00Z,44.0,-8.077
2007-12-15T00:00:00Z,45.0,-10.553
2007-12-15T00:00:00Z,46.0,-6.743
2007-12-15T00:00:00Z,47.0,-11.284
2008-01-15T00:00:00Z,31.0,0.778
2008-01-15T00:00:00Z,32.0,0.851
2008-01-15T00:00:00Z,33.0,0.95
2008-01-15T00:00:00Z,34.0,-0.05
2008-01-15T00:00:00Z,35.0,1.7
2008-01-15T00:00:00Z,36.0,-4.58
2008-01-15T00:00:00Z,37.0,-6.24
2008-01-15T00:00:00Z,38.0,-4.725
2008-01-15T00:00:00Z,39.0,0.173
2008-01-15T00:00:00Z,40.0,-0.717
2008-01-15T00:00:00Z,41.0,-0.729
2008-01-15T00:00:00Z,42.0,-2.799
2008-01-15T00:00:00Z,43.0,-6.318
2008-01-15T00:00:00Z,44.0,-6.47
2008-01-15T00:00:00Z,45.0,-5.914
2008-01-15T00:00:00Z,46.0,-4.004
2008-01-15T00:00:00Z,47.0,-12.934
2008-02-15T00:00:00Z,31.0,2.412
2008-02-15T00:00:00Z,32.0,2.805
2008-02-15T00:00:00Z,33.0,2.579
2008-02-15T00:00:00Z,34.0,3.766
2008-02-15T00:00:00Z,35.0,8.231
2008-02-15T00:00:00Z,36.0,11.911
2008-02-15T00:00:00Z,37.0,9.267
2008-02-15T00:00:00Z,38.0,7.768
2008-02-15T00:00:00Z,39.0,15.419
2008-02-15T00:00:00Z,40.0,19.584
2008-02-15T00:00:00Z,41.0,3.257
2008-02-15T00:00:00Z,42.0,4.43
2008-02-15T00:00:00Z,43.0,2.376
2008-02-15T00:00:00Z,44.0,-5.923
2008-02-15T00:00:00Z,45.0,-1.289
2008-02-15T00:00:00Z,46.0,2.069
2008-02-15T00:00:00Z,47.0,-5.764
2008-03-15T00:00:00Z,31.0,4.413
2008-03-15T00:00:00Z,32.0,3.911
2008-03-15T00:00:00Z,33.0,3.871
2008-03-15T00:00:00Z,34.0,14.127
